mode: set
gowails/pkg/app/jobs/jobs.go:54.43,55.48 1 1
gowails/pkg/app/mcp/resources.go:79.2,83.8 1 1
gowails/pkg/app/mcp/resources.go:86.73,94.2 2 1
gowails/pkg/app/mcp/resources.go:96.77,97.31 1 1
gowails/pkg/app/mcp/resources.go:97.31,102.3 1 1
gowails/pkg/app/mcp/resources.go:104.2,107.8 1 1
gowails/pkg/app/mcp/resources.go:110.71,120.2 1 1
gowails/pkg/app/mcp/security.go:4.93,6.35 1 1
gowails/pkg/app/mcp/security.go:6.35,8.3 1 1
gowails/pkg/app/mcp/security.go:11.2,11.37 1 1
gowails/pkg/app/mcp/security.go:11.37,13.33 1 1
gowails/pkg/app/mcp/security.go:13.33,15.4 1 1
gowails/pkg/app/mcp/security.go:18.3,18.30 1 1
gowails/pkg/app/mcp/security.go:18.30,20.18 2 1
gowails/pkg/app/mcp/security.go:20.18,22.5 1 1
gowails/pkg/app/mcp/security.go:27.2,27.42 1 1
gowails/pkg/app/mcp/security.go:27.42,28.33 1 1
gowails/pkg/app/mcp/security.go:28.33,30.4 1 0
gowails/pkg/app/mcp/security.go:32.3,32.30 1 1
gowails/pkg/app/mcp/security.go:32.30,34.18 2 1
gowails/pkg/app/mcp/security.go:34.18,36.5 1 1
gowails/pkg/app/mcp/security.go:40.2,40.12 1 1
gowails/pkg/app/mcp/security.go:44.72,45.18 1 1
gowails/pkg/app/mcp/security.go:46.53,48.29 2 1
gowails/pkg/app/mcp/security.go:50.2,50.14 1 1
gowails/pkg/app/mcp/security.go:54.88,56.36 1 1
gowails/pkg/app/mcp/security.go:56.36,58.3 1 1
gowails/pkg/app/mcp/security.go:61.2,61.18 1 1
gowails/pkg/app/mcp/security.go:66.59,67.22 1 1
gowails/pkg/app/mcp/security.go:71.25,72.23 1 0
gowails/pkg/app/mcp/security.go:74.10,76.23 1 1
gowails/pkg/app/mcp/security.go:81.50,84.31 2 1
gowails/pkg/app/mcp/security.go:84.31,86.31 2 1
gowails/pkg/app/mcp/security.go:86.31,88.4 1 1
gowails/pkg/app/mcp/security.go:89.8,91.3 1 1
gowails/pkg/app/mcp/security.go:93.2,93.16 1 1
gowails/pkg/app/mcp/security.go:97.89,98.18 1 1
gowails/pkg/app/mcp/security.go:99.20,100.14 1 1
gowails/pkg/app/mcp/security.go:101.21,102.14 1 1
gowails/pkg/app/mcp/security.go:103.27,104.33 1 1
gowails/pkg/app/mcp/security.go:104.33,106.4 1 0
gowails/pkg/app/mcp/security.go:107.3,107.44 1 1
gowails/pkg/app/mcp/security.go:107.44,109.4 1 0
gowails/pkg/app/mcp/security.go:110.3,110.14 1 1
gowails/pkg/app/mcp/security.go:111.10,112.15 1 1
gowails/pkg/app/mcp/server.go:129.79,130.42 1 1
gowails/pkg/app/mcp/server.go:130.42,132.3 1 0
gowails/pkg/app/mcp/server.go:134.2,157.20 7 1
gowails/pkg/app/mcp/server.go:161.40,162.31 1 1
gowails/pkg/app/mcp/server.go:162.31,171.100 3 1
gowails/pkg/app/mcp/server.go:171.100,175.51 2 1
gowails/pkg/app/mcp/server.go:175.51,177.5 1 1
gowails/pkg/app/mcp/server.go:179.4,180.18 2 1
gowails/pkg/app/mcp/server.go:180.18,182.5 1 1
gowails/pkg/app/mcp/server.go:184.4,185.25 2 1
gowails/pkg/app/mcp/server.go:185.25,187.5 1 0
gowails/pkg/app/mcp/server.go:189.4,189.60 1 1
gowails/pkg/app/mcp/server.go:192.3,192.40 1 1
gowails/pkg/app/mcp/server.go:197.80,202.68 2 1
gowails/pkg/app/mcp/server.go:202.68,204.3 1 1
gowails/pkg/app/mcp/server.go:206.2,206.55 1 1
gowails/pkg/app/mcp/server.go:206.55,208.3 1 1
gowails/pkg/app/mcp/server.go:210.2,210.15 1 1
gowails/pkg/app/mcp/server.go:214.44,215.34 1 1
gowails/pkg/app/mcp/server.go:215.34,224.107 3 1
gowails/pkg/app/mcp/server.go:224.107,226.18 2 1
gowails/pkg/app/mcp/server.go:226.18,228.5 1 0
gowails/pkg/app/mcp/server.go:230.4,231.25 2 1
gowails/pkg/app/mcp/server.go:231.25,233.5 1 0
gowails/pkg/app/mcp/server.go:235.4,241.10 1 1
gowails/pkg/app/mcp/server.go:244.3,244.48 1 1
gowails/pkg/app/mcp/server.go:249.54,251.15 2 0
gowails/pkg/app/mcp/server.go:251.15,254.3 2 0
gowails/pkg/app/mcp/server.go:256.2,281.12 12 0
gowails/pkg/app/mcp/server.go:281.12,282.90 1 0
gowails/pkg/app/mcp/server.go:282.90,284.4 1 0
gowails/pkg/app/mcp/server.go:288.2,289.21 2 0
gowails/pkg/app/mcp/server.go:293.40,295.15 2 1
gowails/pkg/app/mcp/server.go:295.15,298.3 2 0
gowails/pkg/app/mcp/server.go:300.2,325.12 12 1
gowails/pkg/app/mcp/server.go:325.12,326.90 1 1
gowails/pkg/app/mcp/server.go:326.90,328.4 1 0
gowails/pkg/app/mcp/server.go:331.2,331.12 1 1
gowails/pkg/app/mcp/server.go:334.38,337.29 3 0
gowails/pkg/app/mcp/server.go:337.29,339.3 1 0
gowails/pkg/app/mcp/server.go:340.2,340.12 1 0
gowails/pkg/app/mcp/server.go:344.28,348.16 3 1
gowails/pkg/app/mcp/server.go:348.16,350.3 1 0
gowails/pkg/app/mcp/server.go:352.2,352.25 1 1
gowails/pkg/app/mcp/server.go:352.25,354.3 1 1
gowails/pkg/app/mcp/server.go:356.2,356.29 1 1
gowails/pkg/app/mcp/server.go:356.29,359.56 3 1
gowails/pkg/app/mcp/server.go:359.56,361.4 1 0
gowails/pkg/app/mcp/server.go:364.2,365.35 2 1
gowails/pkg/app/mcp/server.go:369.38,373.2 3 1
gowails/pkg/app/mcp/server.go:376.43,386.2 3 1
gowails/pkg/app/mcp/server.go:391.40,393.15 2 0
gowails/pkg/app/mcp/server.go:393.15,396.3 2 0
gowails/pkg/app/mcp/server.go:397.2,400.15 3 0
gowails/pkg/app/mcp/server.go:400.15,404.3 3 0
gowails/pkg/app/mcp/server.go:406.2,407.42 2 0
gowails/pkg/app/mcp/server.go:412.90,415.2 2 1
gowails/pkg/app/mcp/server.go:419.72,432.17 2 1
gowails/pkg/app/mcp/server.go:432.17,434.3 1 0
gowails/pkg/app/mcp/server.go:437.74,442.17 2 1
gowails/pkg/app/mcp/server.go:442.17,444.3 1 0
gowails/pkg/app/mcp/tools.go:36.37,416.2 14 1
gowails/pkg/app/mcp/tools.go:423.99,425.16 2 1
gowails/pkg/app/mcp/tools.go:425.16,427.3 1 1
gowails/pkg/app/mcp/tools.go:429.2,436.14 5 1
gowails/pkg/app/mcp/tools.go:438.14,439.41 1 1
gowails/pkg/app/mcp/tools.go:440.21,441.48 1 1
gowails/pkg/app/mcp/tools.go:442.22,443.49 1 1
gowails/pkg/app/mcp/tools.go:444.20,445.47 1 1
gowails/pkg/app/mcp/tools.go:446.14,447.41 1 1
gowails/pkg/app/mcp/tools.go:448.18,449.45 1 1
gowails/pkg/app/mcp/tools.go:450.20,451.47 1 1
gowails/pkg/app/mcp/tools.go:452.17,453.44 1 1
gowails/pkg/app/mcp/tools.go:454.18,455.45 1 1
gowails/pkg/app/mcp/tools.go:456.19,457.46 1 1
gowails/pkg/app/mcp/tools.go:458.19,459.46 1 1
gowails/pkg/app/mcp/tools.go:460.26,461.52 1 1
gowails/pkg/app/mcp/tools.go:462.21,463.48 1 1
gowails/pkg/app/mcp/tools.go:464.34,465.59 1 1
gowails/pkg/app/mcp/tools.go:466.26,467.52 1 1
gowails/pkg/app/mcp/tools.go:468.15,469.42 1 1
gowails/pkg/app/mcp/tools.go:470.23,471.49 1 1
gowails/pkg/app/mcp/tools.go:473.15,474.33 1 1
gowails/pkg/app/mcp/tools.go:475.28,476.45 1 1
gowails/pkg/app/mcp/tools.go:477.25,478.42 1 1
gowails/pkg/app/mcp/tools.go:479.23,480.40 1 1
gowails/pkg/app/mcp/tools.go:481.31,482.47 1 1
gowails/pkg/app/mcp/tools.go:483.14,484.53 1 1
gowails/pkg/app/mcp/tools.go:485.10,486.60 1 1
gowails/pkg/app/mcp/tools.go:489.2,489.16 1 1
gowails/pkg/app/mcp/tools.go:489.16,491.3 1 0
gowails/pkg/app/mcp/tools.go:494.2,498.25 3 1
gowails/pkg/app/mcp/tools.go:498.25,500.3 1 0
gowails/pkg/app/mcp/tools.go:503.2,503.65 1 1
gowails/pkg/app/mcp/tools.go:507.103,509.16 2 1
gowails/pkg/app/mcp/tools.go:509.16,511.3 1 1
gowails/pkg/app/mcp/tools.go:513.2,514.16 2 1
gowails/pkg/app/mcp/tools.go:514.16,516.3 1 1
gowails/pkg/app/mcp/tools.go:518.2,520.14 2 1
gowails/pkg/app/mcp/tools.go:521.13,522.45 1 1
gowails/pkg/app/mcp/tools.go:523.20,524.52 1 1
gowails/pkg/app/mcp/tools.go:525.17,526.49 1 1
gowails/pkg/app/mcp/tools.go:527.17,528.49 1 1
gowails/pkg/app/mcp/tools.go:529.14,530.35 1 1
gowails/pkg/app/mcp/tools.go:531.13,532.63 1 1
gowails/pkg/app/mcp/tools.go:533.12,534.47 1 1
gowails/pkg/app/mcp/tools.go:535.21,536.53 1 1
gowails/pkg/app/mcp/tools.go:537.19,538.51 1 1
gowails/pkg/app/mcp/tools.go:539.20,540.52 1 1
gowails/pkg/app/mcp/tools.go:541.13,542.45 1 1
gowails/pkg/app/mcp/tools.go:543.17,544.49 1 1
gowails/pkg/app/mcp/tools.go:545.10,546.60 1 1
gowails/pkg/app/mcp/tools.go:551.102,553.16 2 1
gowails/pkg/app/mcp/tools.go:553.16,555.3 1 1
gowails/pkg/app/mcp/tools.go:557.2,562.47 5 1
gowails/pkg/app/mcp/tools.go:562.47,564.3 1 1
gowails/pkg/app/mcp/tools.go:566.2,566.51 1 1
gowails/pkg/app/mcp/tools.go:566.51,568.3 1 1
gowails/pkg/app/mcp/tools.go:571.2,571.38 1 1
gowails/pkg/app/mcp/tools.go:571.38,573.3 1 1
gowails/pkg/app/mcp/tools.go:575.2,578.14 3 1
gowails/pkg/app/mcp/tools.go:578.14,580.3 1 1
gowails/pkg/app/mcp/tools.go:580.8,582.3 1 1
gowails/pkg/app/mcp/tools.go:584.2,584.16 1 1
gowails/pkg/app/mcp/tools.go:584.16,586.3 1 0
gowails/pkg/app/mcp/tools.go:589.2,598.8 2 1
gowails/pkg/app/mcp/tools.go:601.101,606.2 4 1
gowails/pkg/app/mcp/tools.go:608.109,610.2 1 1
gowails/pkg/app/mcp/tools.go:613.98,615.16 2 1
gowails/pkg/app/mcp/tools.go:615.16,617.3 1 1
gowails/pkg/app/mcp/tools.go:619.2,619.14 1 1
gowails/pkg/app/mcp/tools.go:620.14,622.34 2 1
gowails/pkg/app/mcp/tools.go:623.15,624.26 1 1
gowails/pkg/app/mcp/tools.go:625.10,626.88 1 1
gowails/pkg/app/mcp/tools.go:631.102,633.18 2 1
gowails/pkg/app/mcp/tools.go:633.18,635.3 1 1
gowails/pkg/app/mcp/tools.go:637.2,638.16 2 1
gowails/pkg/app/mcp/tools.go:638.16,640.3 1 1
gowails/pkg/app/mcp/tools.go:642.2,643.16 2 1
gowails/pkg/app/mcp/tools.go:643.16,645.3 1 1
gowails/pkg/app/mcp/tools.go:647.2,649.16 2 1
gowails/pkg/app/mcp/tools.go:650.16,651.55 1 1
gowails/pkg/app/mcp/tools.go:652.17,653.56 1 1
gowails/pkg/app/mcp/tools.go:654.10,655.96 1 1
gowails/pkg/app/mcp/tools.go:659.107,661.16 2 1
gowails/pkg/app/mcp/tools.go:661.16,663.3 1 1
gowails/pkg/app/mcp/tools.go:665.2,666.16 2 1
gowails/pkg/app/mcp/tools.go:666.16,668.3 1 1
gowails/pkg/app/mcp/tools.go:670.2,673.16 3 1
gowails/pkg/app/mcp/tools.go:673.16,675.3 1 0
gowails/pkg/app/mcp/tools.go:677.2,682.8 1 1
gowails/pkg/app/mcp/tools.go:685.107,688.16 3 1
gowails/pkg/app/mcp/tools.go:688.16,690.3 1 1
gowails/pkg/app/mcp/tools.go:692.2,694.85 2 1
gowails/pkg/app/mcp/tools.go:694.85,696.3 1 0
gowails/pkg/app/mcp/tools.go:698.2,704.8 1 1
gowails/pkg/app/mcp/tools.go:707.109,710.16 3 1
gowails/pkg/app/mcp/tools.go:710.16,712.3 1 1
gowails/pkg/app/mcp/tools.go:714.2,714.65 1 1
gowails/pkg/app/mcp/tools.go:714.65,716.3 1 0
gowails/pkg/app/mcp/tools.go:718.2,723.8 1 1
gowails/pkg/app/mcp/tools.go:730.101,731.31 1 1
gowails/pkg/app/mcp/tools.go:731.31,733.3 1 1
gowails/pkg/app/mcp/tools.go:735.2,736.16 2 1
gowails/pkg/app/mcp/tools.go:736.16,738.3 1 1
gowails/pkg/app/mcp/tools.go:740.2,740.14 1 1
gowails/pkg/app/mcp/tools.go:741.18,742.34 1 1
gowails/pkg/app/mcp/tools.go:743.15,744.31 1 1
gowails/pkg/app/mcp/tools.go:745.15,746.31 1 1
gowails/pkg/app/mcp/tools.go:747.16,748.32 1 1
gowails/pkg/app/mcp/tools.go:749.18,750.34 1 1
gowails/pkg/app/mcp/tools.go:751.17,752.33 1 1
gowails/pkg/app/mcp/tools.go:753.17,754.33 1 1
gowails/pkg/app/mcp/tools.go:755.17,756.33 1 1
gowails/pkg/app/mcp/tools.go:757.10,758.66 1 1
gowails/pkg/app/mcp/tools.go:762.104,763.31 1 1
gowails/pkg/app/mcp/tools.go:763.31,765.3 1 1
gowails/pkg/app/mcp/tools.go:767.2,768.16 2 1
gowails/pkg/app/mcp/tools.go:768.16,770.3 1 1
gowails/pkg/app/mcp/tools.go:772.2,773.14 2 1
gowails/pkg/app/mcp/tools.go:773.14,775.3 1 1
gowails/pkg/app/mcp/tools.go:777.2,777.14 1 1
gowails/pkg/app/mcp/tools.go:778.17,779.35 1 1
gowails/pkg/app/mcp/tools.go:780.14,781.32 1 1
gowails/pkg/app/mcp/tools.go:782.14,783.32 1 1
gowails/pkg/app/mcp/tools.go:784.10,785.106 1 1
gowails/pkg/app/mcp/tools.go:789.111,790.31 1 1
gowails/pkg/app/mcp/tools.go:790.31,792.3 1 1
gowails/pkg/app/mcp/tools.go:794.2,795.21 2 1
gowails/pkg/app/mcp/tools.go:795.21,797.3 1 1
gowails/pkg/app/mcp/tools.go:799.2,800.46 2 1
gowails/pkg/app/mcp/tools.go:800.46,802.3 1 0
gowails/pkg/app/mcp/tools.go:804.2,804.38 1 1
gowails/pkg/app/mcp/tools.go:804.38,806.3 1 0
gowails/pkg/app/mcp/tools.go:808.2,809.16 2 1
gowails/pkg/app/mcp/tools.go:809.16,811.3 1 0
gowails/pkg/app/mcp/tools.go:813.2,819.8 2 1
gowails/pkg/app/mcp/tools.go:822.109,823.31 1 1
gowails/pkg/app/mcp/tools.go:823.31,825.3 1 1
gowails/pkg/app/mcp/tools.go:827.2,828.21 2 1
gowails/pkg/app/mcp/tools.go:828.21,830.3 1 1
gowails/pkg/app/mcp/tools.go:832.2,834.69 2 1
gowails/pkg/app/mcp/tools.go:834.69,836.3 1 0
gowails/pkg/app/mcp/tools.go:838.2,843.8 1 1
gowails/pkg/app/mcp/tools.go:850.76,851.59 1 1
gowails/pkg/app/mcp/tools.go:851.59,853.3 1 1
gowails/pkg/app/mcp/tools.go:854.2,854.36 1 1
gowails/pkg/app/mcp/tools.go:858.70,859.38 1 1
gowails/pkg/app/mcp/tools.go:859.38,861.3 1 1
gowails/pkg/app/mcp/tools.go:862.2,862.11 1 1
gowails/pkg/app/mcp/tools.go:866.64,867.39 1 1
gowails/pkg/app/mcp/tools.go:867.39,869.3 1 1
gowails/pkg/app/mcp/tools.go:870.2,870.10 1 1
gowails/pkg/app/mcp/tools.go:874.66,875.36 1 1
gowails/pkg/app/mcp/tools.go:875.36,877.3 1 1
gowails/pkg/app/mcp/tools.go:878.2,878.14 1 1
gowails/pkg/app/mcp/tools.go:882.54,884.39 2 1
gowails/pkg/app/mcp/tools.go:884.39,887.3 2 1
gowails/pkg/app/mcp/tools.go:888.2,888.13 1 1
gowails/pkg/app/mcp/tools.go:892.87,902.32 3 1
gowails/pkg/app/mcp/tools.go:902.32,905.3 2 1
gowails/pkg/app/mcp/tools.go:907.2,907.11 1 1
gowails/pkg/app/mcp/tools.go:911.34,912.14 1 1
gowails/pkg/app/mcp/tools.go:912.14,914.3 1 1
gowails/pkg/app/mcp/tools.go:915.2,916.62 2 1
gowails/pkg/app/mcp/tools.go:916.62,918.3 1 1
gowails/pkg/app/mcp/tools.go:919.2,919.10 1 1
gowails/pkg/app/mcp/tools.go:923.58,924.14 1 1
gowails/pkg/app/mcp/tools.go:924.14,926.3 1 1
gowails/pkg/app/mcp/tools.go:927.2,928.62 2 1
gowails/pkg/app/mcp/tools.go:928.62,929.23 1 1
gowails/pkg/app/mcp/tools.go:929.23,931.4 1 1
gowails/pkg/app/mcp/tools.go:933.2,933.10 1 1
gowails/pkg/app/mcp/tools.go:939.69,940.36 1 1
gowails/pkg/app/mcp/tools.go:940.36,942.3 1 1
gowails/pkg/app/mcp/tools.go:945.2,946.29 2 1
gowails/pkg/app/mcp/tools.go:946.29,948.3 1 0
gowails/pkg/app/mcp/tools.go:950.2,951.32 2 1
gowails/pkg/app/mcp/tools.go:951.32,953.3 1 0
gowails/pkg/app/mcp/tools.go:956.2,958.32 2 1
gowails/pkg/app/mcp/tools.go:958.32,963.20 3 1
gowails/pkg/app/mcp/tools.go:963.20,964.12 1 0
gowails/pkg/app/mcp/tools.go:967.3,967.45 1 1
gowails/pkg/app/mcp/tools.go:967.45,969.4 1 1
gowails/pkg/app/mcp/tools.go:972.2,972.32 1 1
gowails/pkg/app/mcp/tools.go:976.60,979.29 3 1
gowails/pkg/app/mcp/tools.go:979.29,981.51 2 1
gowails/pkg/app/mcp/tools.go:981.51,985.4 3 1
gowails/pkg/app/mcp/tools.go:987.2,987.15 1 1
gowails/pkg/app/mcp/tools.go:991.55,993.30 1 1
gowails/pkg/app/mcp/tools.go:993.30,994.16 1 0
gowails/pkg/app/mcp/tools.go:994.16,996.4 1 0
gowails/pkg/app/mcp/tools.go:997.3,997.15 1 0
gowails/pkg/app/mcp/tools.go:1001.2,1001.29 1 1
gowails/pkg/app/mcp/tools.go:1001.29,1003.27 2 0
gowails/pkg/app/mcp/tools.go:1003.27,1005.4 1 0
gowails/pkg/app/mcp/tools.go:1006.3,1006.26 1 0
gowails/pkg/app/mcp/tools.go:1006.26,1007.67 1 0
gowails/pkg/app/mcp/tools.go:1007.67,1009.5 1 0
gowails/pkg/app/mcp/tools.go:1011.3,1011.13 1 0
gowails/pkg/app/mcp/tools.go:1015.2,1015.32 1 1
gowails/pkg/app/mcp/tools.go:1015.32,1017.28 2 1
gowails/pkg/app/mcp/tools.go:1017.28,1018.69 1 1
gowails/pkg/app/mcp/tools.go:1018.69,1020.5 1 1
gowails/pkg/app/mcp/tools.go:1024.2,1024.12 1 0
gowails/pkg/app/mcp/tools.go:1028.63,1029.35 1 1
gowails/pkg/app/mcp/tools.go:1029.35,1030.60 1 1
gowails/pkg/app/mcp/tools.go:1030.60,1032.4 1 1
gowails/pkg/app/mcp/tools.go:1034.2,1034.13 1 1
gowails/pkg/app/mcp/tools.go:1040.52,1041.18 1 1
gowails/pkg/app/mcp/tools.go:1041.18,1043.3 1 1
gowails/pkg/app/mcp/tools.go:1045.2,1046.32 2 1
gowails/pkg/app/mcp/tools.go:1046.32,1048.3 1 1
gowails/pkg/app/mcp/tools.go:1050.2,1050.32 1 1
gowails/pkg/app/mcp/tools.go:1050.32,1053.34 2 1
gowails/pkg/app/mcp/tools.go:1053.34,1054.20 1 0
gowails/pkg/app/mcp/tools.go:1054.20,1055.10 1 0
gowails/pkg/app/mcp/tools.go:1057.4,1057.22 1 0
gowails/pkg/app/mcp/tools.go:1059.3,1059.36 1 1
gowails/pkg/app/mcp/tools.go:1059.36,1061.47 2 1
gowails/pkg/app/mcp/tools.go:1061.47,1063.5 1 1
gowails/pkg/app/mcp/tools.go:1067.2,1067.14 1 1
gowails/pkg/app/holmesgpt/client.go:43.66,44.27 1 1
gowails/pkg/app/holmesgpt/client.go:44.27,46.3 1 1
gowails/pkg/app/holmesgpt/client.go:48.2,49.18 2 1
